"resolved_name;gametophytic;sporophytic;parsed n"
"Carex albursina;;44;22"
"Carex albursina;22II;;"
"Carex albursina;22II;;22"
"Carex algida;;32;"
"Carex algida;;32;16"
"Carex algida;;32;16"
"Carex alliiformis;23;46;"
"Carex alliiformis;23;46;23"
"Carex alopecoidea;;50;25"
"Carex alopecoidea;;68;"
"Carex alopecoidea;;68;34"
"Carex alopecoidea;;68;34"
"Carex alopecoidea;;68;34"
"Carex alopecoidea;;68;34"
"Carex alopecuroides;;62;31"
"Carex alopecuroides;;62;31"
"Carex alopecuroides;;62;31"
"Carex alopecuroides;;ca. 40;20"
"Carex alterniflora;;70;"
"Carex angustata;;66,68;33, 34"
"Carex angustata;33-35;;"
"Carex angustata;33-35;;33, 35"
"Carex annectens;;50;25"
"Carex annectens;;52;26"
"Carex anthoxanthea;;54, c.56;27,28"
"Carex anthoxanthea;;54, ca. 56;27, 28"
"Carex aperta;;54;27"
"Carex aperta;27;;"
"Carex aperta;27;;27"
"Carex appalachica;;52;26"
"Carex appalachica;26;;"
"Carex appalachica;26;;26"
"Carex appendiculata;;76;"
"Carex appendiculata;;76;38"
"Carex appendiculata;;78;39"
"Carex appendiculata;;c.80;"
"Carex appendiculata;;c.80;40"
"Carex appressa;;60;30"
"Carex appressa;;61;"
"Carex appressa;;62;31"
"Carex appressa;;c.60-62;"
"Carex appressa;;c.60-62;30,31"
"Carex appropinquata;;64;"
"Carex appropinquata;;64;32"
"Carex appropinquata;;64;32"
"Carex appropinquata;;64;32"
"Carex appropinquata;;64;32"
"Carex approximata;;30;"
"Carex aquatilis subsp aquatilis;;76;"
"Carex aquatilis subsp stans;;76;"
"Carex aquatilis var aquatilis;36-38;;"
"Carex aquatilis var dives;;72,74,78,80;36, 37, 39, 40"
"Carex aquatilis var dives;36, 38-40;;"
"Carex aquatilis var dives;36, 38-40;;36, 38, 40"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;76;38"
"Carex aquatilis var minor;;c.80;40"
"Carex aquatilis var minor;38;;38"
"Carex aquatilis var substricta;;76,77;38"
"Carex aquatilis;;72,74;36, 37"
"Carex aquatilis;;72;36"
"Carex aquatilis;;74, 76, 78;"
"Carex aquatilis;;74, 76, 78;37, 38, 39"
"Carex aquatilis;;74;"
"Carex aquatilis;;74;37"
"Carex aquatilis;;76*;38"
"Carex aquatilis;;76, 77;38"
"Carex aquatilis;;76, 77;38"
"Carex aquatilis;;76;"
"Carex aquatilis;;76;"
"Carex aquatilis;;76;38"
"Carex aquatilis;;76;38"
"Carex aquatilis;;76;38"
"Carex aquatilis;;76;38"
"Carex aquatilis;;76;38"
"Carex aquatilis;;76;38"
"Carex aquatilis;;76;38"
"Carex aquatilis;;76;38"
"Carex aquatilis;;76;38"
"Carex aquatilis;;77;"
"Carex aquatilis;;77;"
"Carex aquatilis;;77;"
"Carex aquatilis;;84;42"
"Carex aquatilis;;84;42"
"Carex aquatilis;;c.44;"
"Carex aquatilis;;c.44;22"
"Carex aquatilis;35, 36, 38;74;"
"Carex aquatilis;35, 36, 38;74;35,36,38"
"Carex aquatilis;35-38;74, 148;"
"Carex aquatilis;35-38;74, 148;35,38"
"Carex aquatilis;36, 37, 38, 39, 40, 41, 42, c.83;74, 75, 76, 77, 78, 79, 80;"
"Carex aquatilis;36, 37, 38, 39, 40, 41, 42, c.83;74, 75, 76, 77, 78, 79, 80;36,37,38,39,40,41,42,83"
"Carex aquatilis;36-38;;36, 38"
"Carex aquatilis;38;;38"
"Carex aquatilis;39-40;79;"
"Carex aquatilis;39-40;79;39, 40"
"Carex aquatilis;42;;42"
"Carex arcta;;54, 52 (rare);27, 26"
"Carex arcta;;60;"
"Carex arcta;;60;30"
"Carex arcta;;60;30"
"Carex arcta;;60;30"
"Carex arcta;27, 26(rare);;"
"Carex arcta;27, 26(rare);;27, 26"
"Carex arcta;30;;30"
"Carex arctata;;52,54,56;26, 27, 28"
"Carex arctata;;54;27"
"Carex arctiformis;;56;28"
"Carex arctiformis;28;56;28"
"Carex arenaria;;28, 58, 60-64;14, 29, 30, 32"
"Carex arenaria;;28;"
"Carex arenaria;;28;14"
"Carex arenaria;;28;14"
"Carex arenaria;;58,6;29, 30"
"Carex arenaria;;58;"
"Carex arenaria;;58;29"
"Carex arenaria;;58;29"
"Carex arenaria;;58;29"
"Carex arenaria;;58;29"
"Carex arenaria;;58;29"
"Carex arenaria;;58;29"
"Carex arenaria;;58;29"
"Carex arenaria;;58;29"
"Carex arenaria;;6064;"
"Carex arenaria;;64;"
"Carex arenaria;;64;32"
"Carex arenaria;;64;32"
"Carex arenaria;;64;32"
"Carex arenaria;;64;32"
"Carex arenaria;29;;29"
"Carex arenaria;29;;29"
"Carex arenaria;29;;29"
"Carex arenaria;29II;;"
"Carex arenaria;29II;;29"
"Carex argunensis;;42;21"
"Carex argyrantha;;64;"
"Carex argyrantha;;64;32"
"Carex argyrantha;;64;32"
"Carex argyrantha;;80;40"
"Carex argyrantha;40;;"
"Carex argyrantha;40;;40"
"Carex argyrantha;40;;40"
"Carex argyrantha;40;;40"
"Carex arnellii;;40;20"
"Carex arthrostachya;34;;"
"Carex assiniboinensis;;32;"
"Carex assiniboinensis;;32;"
"Carex assiniboinensis;;32;16"
"Carex assiniboinensis;;32;16"
"Carex assiniboinensis;;32;16"
"Carex assiniboinensis;;32;16"
"Carex assiniboinensis;;32;16"
"Carex assiniboinensis;;32;16"
"Carex assiniboinensis;;32;16"
"Carex asturica;;46;23"
"Carex asturica;;46;23"
"Carex asturica;;46;23"
"Carex asturica;;46;23"
"Carex asturica;;46;23"
"Carex asturica;;46;23"
"Carex asturica;;46;23"
"Carex asturica;23;;23"
"Carex asturica;23II;;"
"Carex asturica;23II;;23"
"Carex atherodes;;74;"
"Carex atherodes;;74;37"
"Carex atherodes;;78;39"
"Carex atherodes;21;42;21"
"Carex athrostachya;;68;34"
"Carex athrostachya;;68;34"
"Carex athrostachya;;76;38"
"Carex athrostachya;34;;"
"Carex athrostachya;34;;34"
"Carex athrostachya;34;;34"
"Carex atlantica;;44;22"
"Carex atlantica;;54;27"
"Carex atrata  subsp;;52;26"
"Carex atrata  subsp;;54;27"
"Carex atrata  subsp;;54;27"
"Carex atrata  subsp;;54;27"
"Carex atrata  subsp;;54;27"
"Carex atrata  subsp;;ca. 54;27"
"Carex atrata  subsp;;ca.54;27"
"Carex atrata subsp atrata;;54;"
"Carex atrata subsp atratiformis;;54;"
"Carex atrata var atrata;;52, 54;"
"Carex atrata;;18, 26;9, 13"
"Carex atrata;;18, 26;9, 13"
"Carex atrata;;18, aèÛ 26;"
"Carex atrata;;18;9"
"Carex atrata;;26;13"
"Carex atrata;;48;24"
"Carex atrata;;4852;"
"Carex atrata;;48-52;24, 26"
"Carex atrata;;52, 54;"
"Carex atrata;;52, 54;26, 27"
"Carex atrata;;52, 54;26, 27"
"Carex atrata;;52, 54;26, 27"
"Carex atrata;;52, 54;26, 27"
"Carex atrata;;52;26"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;54;27"
"Carex atrata;;56;28"
"Carex atrata;;56;28"
"Carex atrata;;56;28"
"Carex atrata;;ca. 54;27"
"Carex atrata;0;48-52;24,26"
"Carex atrata;0;54;27"
"Carex atrata;0;54;27"
"Carex atrata;0;54;27"
"Carex atrata;0;54;27"
"Carex atrata;0;54;27"
"Carex atrata;0;54;27"
"Carex atrata;0;54;27"
"Carex atrata;0;54;27"
"Carex atrata;0;56;28"
"Carex atrata;0;56;28"
"Carex atrata;27;;27"
"Carex atrata;27;;27"
"Carex atrata;27;;27"
"Carex atrata;27;;27"
"Carex atrata;27;;27"
"Carex atratiformis;;54;27"
"Carex atratiformis;;54;27"
"Carex atratiformis;;54;27"
"Carex atrofusca  subsp;;48;24"
"Carex atrofusca  subsp;;48;24"
"Carex atrofusca;;36, 38, 40;18, 19, 20"
"Carex atrofusca;;36, 40;18, 20"
"Carex atrofusca;;36, 40;18, 20"
"Carex atrofusca;;36;18"
"Carex atrofusca;;38;"
"Carex atrofusca;;38;"
"Carex atrofusca;;38;"
"Carex atrofusca;;38;19"
"Carex atrofusca;;38;19"
"Carex atrofusca;;38;19"
"Carex atrofusca;;38;19"
"Carex atrofusca;;38;19"
"Carex atrofusca;;38;19"
"Carex atrofusca;;38;19"
"Carex atrofusca;;38;19"
"Carex atrofusca;;38;19"
"Carex atrofusca;;38;19"
"Carex atrofusca;;38;19"
"Carex atrofusca;;40;20"
"Carex atrofusca;;40;20"
"Carex atrofusca;;40;20"
"Carex atrofusca;;40;20"
"Carex atrofusca;;48;24"
"Carex atrofusca;;c.42;21"
"Carex atrofusca;;c.42;21"
"Carex atrofusca;19;c.36, 38, 40;19"
"Carex aurea;;52;"
"Carex aurea;;52;"
"Carex aurea;;52;26"
"Carex aurea;;52;26"
"Carex aurea;;52;26"
"Carex aurea;;52;26"
"Carex aurea;;52;26"
"Carex aurea;;52;26"
"Carex austroalpina;;38;19"
"Carex austroalpina;;38;19"
"Carex austroalpina;;38;19"
"Carex austroalpina;;40;20"
"Carex austroalpina;;40;20"
"Carex austroalpina;;40;20"
"Carex austroalpina;;40;20"
"Carex austroalpina;;40;20"
"Carex austroalpina;;40;20"
"Carex austroalpina;;40;20"
"Carex austroalpina;;40;20"
"Carex austroalpina;;40;20"
"Carex austroalpina;;40;20"
"Carex austroalpina;20;c.40;20"
"Carex austrocaroliniana;;60;30"
"Carex austrocaroliniana;28II, 29II;;"
"Carex austrocaroliniana;28II, 29II;;28,29"
"Carex austrocaroliniana;30;;"
"Carex austrocaroliniana;30;;30"
"Carex austrocaroliniana;30;;30"
"Carex baccans;;44;22"
"Carex baccans;;46;"
"Carex baccans;;46;23"
"Carex baccans;;46;23"
"Carex baccans;;84;"
"Carex baccans;;84;42"
"Carex baccans;23;46;"
"Carex baccans;23;46;23"
"Carex backii;;66;"
"Carex backii;;66;33"
"Carex backii;;66;33"
"Carex baldensis;;88;44"
"Carex baldensis;;90;45"
"Carex baldensis;;90;45"
"Carex baldensis;;90;45"
"Carex baldensis;44;;44"
"Carex baldensis;45;;45"
"Carex baldensis;45;;45"
"Carex baldensis;45;;45"
"Carex bebbii;;68,7;34, 35"
"Carex bebbii;;68;"
"Carex bebbii;;68;34"
"Carex bebbii;;68;34"
"Carex bebbii;;70;35"
"Carex bebbii;35;;"
"Carex bebbii;35;;"
"Carex bebbii;35;;35"
"Carex bebbii;35;;35"
"Carex bella;;40;20"
"Carex bella;;40;20"
"Carex bequaertii;;ca. 58;29"
"Carex berggrenii;;60;"
"Carex berggrenii;;60;30"
"Carex berggrenii;;60;30"
"Carex bergrothii;;35;"
"Carex bicknellii var opaca;33;;"
"Carex bicknellii;;74;37"
"Carex bicknellii;;76,78;38, 39"
"Carex bicknellii;;76;"
"Carex bicknellii;;76;38"
"Carex bicknellii;;76;38"
"Carex bicknellii;38II, 39II;;"
"Carex bicknellii;38II, 39II;;38,39"
"Carex bicolor;;16;8"
"Carex bicolor;;16;8"
"Carex bicolor;;50;25"
"Carex bicolor;;52;"
"Carex bicolor;;52;"
"Carex bicolor;;52;26"
"Carex bicolor;;52;26"
"Carex bicolor;;52;26"
"Carex bicolor;;52;26"
"Carex bicolor;;52;26"
"Carex bicolor;;c.48;24"
"Carex bicolor;;c.48;24"
"Carex bicolor;;c.52;26"
"Carex bicolor;25;;25"
"Carex bicolor;26;;"
"Carex bicolor;26;;26"
"Carex bigelowii subsp arctisibirica;;c.60;30"
"Carex bigelowii subsp dacica;;70;35"
"Carex bigelowii subsp lugens;;80;40"
"Carex bigelowii subsp lugens;;80;40"
"Carex bigelowii subsp lugens;;c.60;30"
"Carex bigelowii subsp lugens;;ca.80;40"
"Carex bigelowii;;""70-76"";35, 38"
"Carex bigelowii;;68, 69, 70, 71;34, 35"
"Carex bigelowii;;68, 69, 70, 71;34, 35"
"Carex bigelowii;;68;34"
"Carex bigelowii;;68;34"
"Carex bigelowii;;68;34"
"Carex bigelowii;;68;34"
"Carex bigelowii;;68-71;34"
"Carex bigelowii;;69;"
"Carex bigelowii;;69;"
"Carex bigelowii;;70;"
